CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
APOOSV2;IMPORTACION APOYO POR PORTUGAL;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA PORTUGAL
APOOSV3;IMPORTACION APOYO POR FRANCIA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
APOOSV4;IMPORTACIÓN APOYO POR ANDORRA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA ANDORRA
APOOSV5;IMPORTACION APOYO POR MARRUECO;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
APOPORE;EXPORTACION APOYO A PORTUGAL;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOPORI;IMPORTACION APOYO POR PORTUGAL;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APORENE;EXPORTACION APOYO A PORTUGAL;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA PORTUGAL
APORENI;IMPORTACION APOYO POR PORTUGAL;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA PORTUGAL
APORTEE;EXPORTACION APOYO A FRANCIA;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
APORTEI;IMPORTACION APOYO POR FRANCIA;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
APUF01;AUTOPRODUCTOR UNION FENOSA;UNIÓN FENOSA DISTRIBUCIÓN, S.A.;100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
